t1	Temp1	NTemp1	SNTemp1	STemp1	t2	Temp2	NTemp2	SNTemp2	STemp2	t3	Temp3	NTemp3	SNTemp3	STemp3	t4	Temp4	NTemp4	SNTemp4	STemp4
0	33.45600476	25604.88412	0	33.45600476	0	42.54733565	33131.61027	0	33.45600476	0	26.69889147	22326.14703	0	33.45600476	0	22.37557156	15580.55799	0	33.45600476
5	36.43256939	27882.93833	2278.05421	36.43256939	5	45.87345126	35721.6565	2590.04623	36.15396991	5	29.39685662	24582.23945	2256.09242	36.15396991	5	24.89158543	17332.50877	1751.95078	35.97201863
10	38.70498244	29622.08421	4017.20009	38.70498244	10	47.82141027	37238.53217	4106.9219	38.65892052	10	31.90180723	26676.92924	4350.78221	38.65892052	10	28.42599855	19793.59131	4213.03332	39.50643175
15	41.29114132	31601.34919	5996.46507	41.29114132	15	50.89571978	39632.497	6500.88673	41.37204628	15	34.61493299	28945.69927	6619.55224	41.37204628	15	31.56908909	21982.18811	6401.63012	42.64952229
20	43.5400313	33322.49215	7717.60803	43.5400313	20	54.2123911	42215.18895	9083.57868	43.84034733	20	37.08323404	31009.74197	8683.59494	43.84034733	20	35.26299347	24554.32761	8973.76962	46.34342667
25	46.17063258	35335.77023	9730.88611	46.17063258	25	57.00790818	44392.0581	11260.44783	46.42514098	25	39.66802769	33171.19811	10845.05108	46.42514098	25	38.87023895	27066.12479	11485.5668	49.95067215
30	48.92863881	37446.55514	11841.67102	48.92863881	30	59.21977714	46114.44046	12982.83019	49.11208055	30	42.35496726	35418.07072	13091.92369	49.11208055	30	41.86001909	29147.96849	13567.4105	52.94045229
35	51.98859897	39788.43445	14183.55033	51.98859897	35	62.06990065	48333.83164	15202.22137	51.77086004	35	45.01374675	37641.39531	15315.24828	51.77086004	35	45.00867332	31340.43941	15759.88142	56.08910652
40	56.02530403	42877.84593	17272.96181	56.02530403	40	63.74405888	49637.49865	16505.88838	54.03787988	40	47.28076659	39537.12264	17210.97561	54.03787988	40	48.39203579	33696.34236	18115.78437	59.47246899
45	58.55704526	44815.46345	19210.57933	58.55704526	45	66.16291177	51521.0594	18389.44913	56.7725821	45	50.01546881	41823.93533	19497.7883	56.7725821	45	51.1635516	35626.20425	20045.64626	62.2439848
50	60.6237773	46397.19548	20792.31136	60.6237773	50	68.22094243	53123.64787	19992.0376	59.32684802	50	52.56973473	43959.86357	21633.71654	59.32684802	50	54.18051697	37726.97758	22146.41959	65.26095017
55	62.97237036	48194.64421	22589.76009	62.97237036	55	71.48574326	55665.94828	22534.33801	61.73064325	55	54.97352996	45969.96522	23643.81819	61.73064325	55	56.80341875	39553.35654	23972.79855	67.88385195
60	66.06365611	50560.49793	24955.61381	66.06365611	60	73.49816382	57233.02017	24101.4099	63.43658947	60	56.67947618	47396.51157	25070.36454	63.43658947	60	59.45329702	41398.51978	25817.96179	70.53373022
65	69.33556787	53064.59016	27459.70604	69.33556787	65	75.92058148	59119.3568	25987.74653	64.7300235	65	57.97291021	48478.10698	26151.95995	64.7300235	65	60.77059186	42315.77853	26735.22054	71.85102506
70	71.47675401	54703.30415	29098.42003	71.47675401	70	79.2898944	61743.04077	28611.4305	66.55964233	70	59.80252904	50008.07083	27681.9238	66.55964233	70	63.1736836	43989.09937	28408.54138	74.2541168
75	73.69782481	56403.15626	30798.27214	73.69782481	75	81.54253046	63497.16847	30365.5582	68.01529138	75	61.25817809	51225.31368	28899.16665	68.01529138	75	66.85933829	46555.49444	30974.93645	77.93977149
80	75.60479279	57862.61606	32257.73194	75.60479279	80	82.91641666	64567.01365	31435.40338	68.77493948	80	62.01782619	51860.54662	29534.39959	68.77493948	80	70.34324165	48981.40602	33400.84803	81.42367485
85	77.6546314	59431.41905	33826.53493	77.6546314	85	84.71006768	65963.7297	32832.11943	70.91236688	85	64.15525359	53647.90616	31321.75913	70.91236688	85	74.02015768	51541.7162	35961.15821	85.10059088
90	78.79005691	60300.39425	34695.51013	78.79005691	90	87.35384982	68022.44285	34890.83258	74.23325174	90	67.47613845	56424.8965	34098.74947	74.23325174	90	76.10661512	52994.55824	37414.00025	87.18704832
95	79.90576404	61154.2784	35549.39428	79.90576404	95	90.01812586	70097.11461	36965.50434	76.92043907	95	70.16332578	58671.97628	36345.82925	76.92043907	95	77.81772369	54186.03736	38605.47937	88.89815689
100	82.07453303	62814.10236	37209.21824	82.07453303	100	91.89399242	71557.85189	38426.24162	80.30904907	100	73.55193578	61505.59974	39179.45271	80.30904907	100	80.71287291	56201.98767	40621.42968	91.79330611
105	84.32862591	64539.22726	38934.34314	84.32862591	105	93.89442017	73115.58499	39983.97472	82.79258632	105	76.03547303	63582.38325	41256.23622	82.79258632	105	85.66665923	59651.40816	44070.85017	96.74709243
110	86.60454126	66281.05356	40676.16944	86.60454126	110	94.79274004	73815.10667	40683.4964	86.04700769	110	79.2898944	66303.79549	43977.64846	86.04700769	110	90.65091717	63122.04665	47541.48866	101.7313504
115	88.7377646	67913.67338	42308.78926	88.7377646	115	96.63869353	75252.55065	42120.94038	89.25009442	115	82.49298113	68982.28068	46656.13365	89.25009442	115	93.78236228	65302.5345	49721.97651	104.8627955
120	91.04654965	69680.65584	44075.77172	91.04654965	120	98.26937977	76522.36603	43390.75576	91.73970918	120	84.98259589	71064.14633	48737.9993	91.73970918	120	96.63869353	67291.45508	51710.89709	107.7191267

