t1	Temp1	NTemp1	SNTemp1	STemp1	t2	Temp2	NTemp2	SNTemp2	STemp2	t3	Temp3	NTemp3	SNTemp3	STemp3	t4	Temp4	NTemp4	SNTemp4	STemp4	t5	Temp5	NTemp5	SNTemp5	STemp5
0	25.57569524	20841.12254	0	25.57569524	0	43.52844727	36585.22465	0	25.57569524	0	26.33362098	20040.1489	0	25.57569524	0	35.57091744	27536.87003	0	25.57569524	0	35.84176269	29811.74454	0	25.57569524
0.5	25.7003231	20942.67929	101.55675	25.7003231	5	46.83361168	39363.18228	2777.95763	28.88085965	5	28.87543907	21974.49788	1934.34898	28.11751333	5	38.5073741	29810.09859	2273.22856	28.5121519	1	36.312334	30203.14693	391.402389999999	26.04626655
1	25.86842377	21079.66116	238.538619999999	25.86842377	10	48.58349089	40833.93826	4248.71361	30.63073886	10	31.22812502	23764.91542	3724.76652	30.47019928	10	43.56320508	33724.01958	6187.14955	33.56798288	2	36.55903424	30408.34232	596.59778	26.29296679
1.5	26.05101791	21228.45348	387.33094	26.05101791	15	50.07800746	42090.06449	5504.83985	32.12525543	15	33.94767593	25834.52086	5794.37195	33.18975019	15	46.48652669	35987.07978	8450.20975	36.4913045	3	37.07404202	30836.70519	0	26.80797457
2	26.18579431	21338.28007	497.15753	26.18579431	20	53.75616121	45181.51594	8596.29129	35.80340918	20	36.66733157	27904.206	7864.0571	35.90940583	20	49.46669235	38294.14521	10757.27518	39.47147015	4	37.39932294	31107.26085	391.402389999999	27.13325549
2.5	26.33362098	21458.74107	617.61853	26.33362098	25	56.53703366	47518.81142	10933.58677	38.58428163	25	38.92799303	29624.59198	9584.44307	38.17006729	25	53.5551642	41459.19482	13922.32479	43.55994201	5	38.07780139	31671.59209	596.59778	27.81173394
3	26.4597167	21561.49394	720.3714	26.4597167	30	59.12449783	49693.54918	13108.32453	41.1717458	30	42.43478853	32293.29842	12253.14951	41.67686279	30	55.26790999	42785.09984	15248.22982	45.2726878	6	38.43124301	31965.57068	1024.96066	28.16517556
3.5	26.61191407	21685.51653	844.393990000001	26.61191407	35	61.47251411	51667.03338	15081.80873	43.51976208	35	45.77070642	34831.96529	14791.81639	45.01278068	35	57.71902201	44682.6037	17145.73367	47.72379981	7	38.77354345	32250.2825	1295.51631	28.507476
4	26.74383218	21793.01397	951.89143	26.74383218	40	63.30518054	53207.37119	16622.14654	45.35242851	40	48.69292271	37055.80111	17015.6522	47.93499697	40	60.61690752	46925.97279	19389.10276	50.62168533	8	39.17033615	32580.31879	1859.84755	28.9042687
4.5	26.89751404	21918.24624	1077.1237	26.89751404	45	66.10019552	55556.55333	18971.32868	48.14744349	45	51.58013947	39253.00194	19212.85303	50.82221373	45	63.98135964	49530.52976	21993.65973	53.98613745	9	39.76569961	33075.51831	2153.82615	29.49963216
5	27.05121949	22043.49774	1202.3752	27.05121949	50	69.01384375	58005.44554	21420.22089	51.06109172	50	54.79977383	41703.17588	21663.02698	54.04184809	50	66.17337399	51227.45574	23690.58571	56.1781518	10	40.05780154	33318.47701	2438.53797	29.79173409
5.5	27.21365454	22175.86281	1334.74027	27.21365454	55	71.96523957	60486.06421	23900.83956	54.01248754	55	58.28466992	44355.21666	24315.06775	57.52674418	55	68.80641794	53265.80038	25728.93036	58.81119574	11	40.70561161	33857.29951	2768.57426	30.43954415
