frequency	voltage
0.050	4.80
0.100	4.80
0.194	4.80
0.200	4.84
0.302	4.80
0.451	4.84
0.655	4.84
0.775	4.84
0.906	4.80
1.084	4.80
2	4.84
3	4.80
4	4.80
5.3	4.84
6	4.84
7.1	4.80
8	4.80
9	4.80
10	4.80
100	4.72
1000	4.84
2300	4.80
10000	4.80
50000	4.66
55000	4.60
57700	4.44
59150	4.36
60900	4.24
61600	4.16
62200	4.00
63700	3.72
65000	3.32
66500	2.88
68300	2.40
69000	2.32
70000	2.36
71300	2.56
73000	2.80
75000	3.20
76000	3.44
77000	3.64
78000	3.80
80000	3.96
82000	4.12
84000	4.28
86000	4.36
88000	4.44
90000	4.56
92000	4.60
95000	4.60
100000	4.68
102000	4.68
105000	4.72
115000	4.76
125000	4.80
130000	4.80
150000	4.80
